year,geography,state,table_number,table_title,section,parent_label,source_label,value,source_symbol,unit,universe,publication,page,source_file,source_column,notes
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,South Slavic,3614,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,Other Slavic,2548,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,Greek,7502,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,Indic,6492,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,Other Indo-European languages,6777,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,Chinese,6987,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,Japanese,9025,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,Mon-Khmer,,—,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,Dash shown in source; numeric value left blank.
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,Korean,13491,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,Tagalog,4826,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,Vietnamese,181,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,Arabic,3313,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,Hungarian,1633,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,Native North American languages,62,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,Other languages,8028,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home by ability to speak English,,Persons 5 years and over,776864,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home by ability to speak English,Persons 5 years and over,Speak English only,599146,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home by ability to speak English,Persons 5 years and over,Spanish,42204,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home by ability to speak English,Spanish,Speak English very well,24513,,persons,Persons 5 years and over speaking Spanish,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home by ability to speak English,Spanish,Speak English well,9263,,persons,Persons 5 years and over speaking Spanish,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home by ability to speak English,Spanish,Speak English not well,6292,,persons,Persons 5 years and over speaking Spanish,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home by ability to speak English,Spanish,Speak English not at all,2136,,persons,Persons 5 years and over speaking Spanish,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home by ability to speak English,Persons 5 years and over,Other Indo-European languages,87968,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home by ability to speak English,Other Indo-European languages,Speak English very well,57646,,persons,Persons 5 years and over speaking Other Indo-European languages,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home by ability to speak English,Other Indo-European languages,Speak English well,20132,,persons,Persons 5 years and over speaking Other Indo-European languages,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home by ability to speak English,Other Indo-European languages,Speak English not well,8617,,persons,Persons 5 years and over speaking Other Indo-European languages,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home by ability to speak English,Other Indo-European languages,Speak English not at all,1573,,persons,Persons 5 years and over speaking Other Indo-European languages,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home by ability to speak English,Persons 5 years and over,Asian and Pacific Island languages,38512,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home by ability to speak English,Asian and Pacific Island languages,Speak English very well,16196,,persons,Persons 5 years and over speaking Asian and Pacific Island languages,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home by ability to speak English,Asian and Pacific Island languages,Speak English well,12544,,persons,Persons 5 years and over speaking Asian and Pacific Island languages,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home by ability to speak English,Asian and Pacific Island languages,Speak English not well,8270,,persons,Persons 5 years and over speaking Asian and Pacific Island languages,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home by ability to speak English,Asian and Pacific Island languages,Speak English not at all,1502,,persons,Persons 5 years and over speaking Asian and Pacific Island languages,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home by ability to speak English,Persons 5 years and over,All other languages,9034,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home by ability to speak English,All other languages,Speak English very well,6305,,persons,Persons 5 years and over speaking All other languages,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home by ability to speak English,All other languages,Speak English well,2008,,persons,Persons 5 years and over speaking All other languages,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home by ability to speak English,All other languages,Speak English not well,609,,persons,Persons 5 years and over speaking All other languages,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home by ability to speak English,All other languages,Speak English not at all,112,,persons,Persons 5 years and over speaking All other languages,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,139,Place of Birth of Foreign-Born Persons: 1990,Place of birth of foreign-born persons,,Foreign-born persons,148861,,persons,Foreign-born persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",267,cp-2-32-1table139.pdf,Bergen County,
