year,geography,state,source_family,table_id,table_title,variable_id,variable_path,source_label,value,unit,value_type,universe,publication_or_dataset,printed_page,official_source_url,notes
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019045,Total!!Asia!!South Central Asia!!Iran,Iran,1621,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019046,Total!!Asia!!South Central Asia!!Pakistan,Pakistan,1855,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019047,Total!!Asia!!South Central Asia!!Other South Central Asia,Other South Central Asia,366,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019048,Total!!Asia!!South Eastern Asia,South Eastern Asia,14038,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019049,Total!!Asia!!South Eastern Asia!!Cambodia,Cambodia,18,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019050,Total!!Asia!!South Eastern Asia!!Indonesia,Indonesia,237,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019051,Total!!Asia!!South Eastern Asia!!Laos,Laos,104,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019052,Total!!Asia!!South Eastern Asia!!Malaysia,Malaysia,393,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019053,Total!!Asia!!South Eastern Asia!!Philippines,Philippines,11978,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019054,Total!!Asia!!South Eastern Asia!!Thailand,Thailand,446,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019055,Total!!Asia!!South Eastern Asia!!Vietnam,Vietnam,557,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019056,Total!!Asia!!South Eastern Asia!!Other South Eastern Asia,Other South Eastern Asia,305,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019057,Total!!Asia!!Western Asia,Western Asia,12255,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
