year,source_period,geography,european_group,group_type,european_subregion,hierarchy_level,population,margin_of_error,unit,measure_scope,historical_comparability,standard_variable,parent_label,source_label,table_id,table,crosswalk_id,publication,official_source_url,source_file,verification_status,notes
1990,1990,Bergen County,Yugoslavia,legacy_multi_country_area,,1,3229,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_yugoslavia,Europe,Yugoslavia,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-114,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Other Europe (not separately reported),residual_category,,1,533,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_europe_other_not_separately_reported,Europe,Other Europe (not separately reported),,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-184,Derived from 1990 Census of Population,,cp-2-32-1table139.pdf,verified_derived_reconciliation,"Exact derived residual: 57,008 Europe total minus 56,475 across the 24 non-overlapping countries printed under Europe. The separately published Soviet Union category is outside the source's Europe hierarchy and is not part of this calculation. The source does not identify the countries contained in the 533-person remainder."
1990,1990,Bergen County,Europe,region_total,,0,57008,,persons,foreign_born_population,unknown,foreign_born_region_of_birth_europe,Foreign-born persons,Europe,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-090,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Soviet Union,legacy_multi_country_area,,1,3034,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_soviet_union,Foreign-born persons,Soviet Union,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-115,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
2000,2000,Bergen County,Europe,region_total,,0,67837,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_europe,,Europe,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-013,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Eastern Europe,subregion_total,Eastern Europe,1,32854,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_europe_eastern_europe,Europe,Eastern Europe,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-031,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,"Europe, n.e.c.",residual_category,,1,9,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_europe_europe_n_e_c,Europe,"Europe, n.e.c.",PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-042,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Northern Europe,subregion_total,Northern Europe,1,7996,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_europe_northern_europe,Europe,Northern Europe,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-014,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Southern Europe,subregion_total,Southern Europe,1,18054,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_europe_southern_europe,Europe,Southern Europe,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-025,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Western Europe,subregion_total,Western Europe,1,8924,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_europe_western_europe,Europe,Western Europe,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-019,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
